activity,year,minutes_avg
Computer use for leisure (excluding games),2003,95
Computer use for leisure (excluding games),2004,97
Computer use for leisure (excluding games),2005,93
Computer use for leisure (excluding games),2006,89
Computer use for leisure (excluding games),2007,87
Computer use for leisure (excluding games),2008,89
Computer use for leisure (excluding games),2009,88
Computer use for leisure (excluding games),2010,93
Computer use for leisure (excluding games),2011,95
Computer use for leisure (excluding games),2012,94
Computer use for leisure (excluding games),2013,91
Computer use for leisure (excluding games),2014,95
Computer use for leisure (excluding games),2015,84
Listening to or playing music (not radio),2003,97
Listening to or playing music (not radio),2004,88
Listening to or playing music (not radio),2005,92
Listening to or playing music (not radio),2006,89
Listening to or playing music (not radio),2007,86
Listening to or playing music (not radio),2008,73
Listening to or playing music (not radio),2009,86
Listening to or playing music (not radio),2010,100
Listening to or playing music (not radio),2011,91
Listening to or playing music (not radio),2012,84
Listening to or playing music (not radio),2013,89
Listening to or playing music (not radio),2014,90
Listening to or playing music (not radio),2015,81
Listening to the radio,2003,91
Listening to the radio,2004,97
Listening to the radio,2005,87
Listening to the radio,2006,86
Listening to the radio,2007,85
Listening to the radio,2008,93
Listening to the radio,2009,88
Listening to the radio,2010,97
Listening to the radio,2011,88
Listening to the radio,2012,100
Listening to the radio,2013,92
Listening to the radio,2014,85
Listening to the radio,2015,84
Playign games,2003,118
Playign games,2004,125
Playign games,2005,119
Playign games,2006,121
Playign games,2007,126
Playign games,2008,126
Playign games,2009,122
Playign games,2010,129
Playign games,2011,131
Playign games,2012,129
Playign games,2013,124
Playign games,2014,130
Playign games,2015,119
Telephone calls with family,2003,32
Telephone calls with family,2004,32
Telephone calls with family,2005,33
Telephone calls with family,2006,32
Telephone calls with family,2007,35
Telephone calls with family,2008,36
Telephone calls with family,2009,36
Telephone calls with family,2010,35
Telephone calls with family,2011,37
Telephone calls with family,2012,37
Telephone calls with family,2013,37
Telephone calls with family,2014,35
Telephone calls with family,2015,36
Telephone calls with friends,2003,39
Telephone calls with friends,2004,40
Telephone calls with friends,2005,40
Telephone calls with friends,2006,42
Telephone calls with friends,2007,41
Telephone calls with friends,2008,43
Telephone calls with friends,2009,40
Telephone calls with friends,2010,45
Telephone calls with friends,2011,44
Telephone calls with friends,2012,42
Telephone calls with friends,2013,42
Telephone calls with friends,2014,45
Telephone calls with friends,2015,47
Television (religious),2003,109
Television (religious),2004,128
Television (religious),2005,101
Television (religious),2006,96
Television (religious),2007,121
Television (religious),2008,122
Television (religious),2009,160
Television (religious),2010,109
Television (religious),2011,119
Television (religious),2012,174
Television (religious),2013,155
Television (religious),2014,105
Television (religious),2015,108
Television and movies (not religious),2003,204
Television and movies (not religious),2004,204
Television and movies (not religious),2005,198
Television and movies (not religious),2006,202
Television and movies (not religious),2007,206
Television and movies (not religious),2008,214
Television and movies (not religious),2009,214
Television and movies (not religious),2010,217
Television and movies (not religious),2011,222
Television and movies (not religious),2012,224
Television and movies (not religious),2013,223
Television and movies (not religious),2014,223
Television and movies (not religious),2015,221
