Selected characteristics,Total 3 years and older,Individual accesses the Internet from some location 1,,Individual lives in household with Internet use 2,
,,,,,
,,,,,
,,Number,Percent,Number,Percent
,,,,,
United States,"293,414","204,596",69.7,"224,349",76.5
,,,,,
Alaska,664,511,77.0,531,80.0
Alabama,"4,449","2,957",66.5,"3,091",69.5
Arizona,"6,336","4,337",68.4,"4,813",76.0
Arkansas,"2,708","1,661",61.4,"1,854",68.5
California,"35,459","24,118",68.0,"27,175",76.6
Colorado,"4,852","3,788",78.1,"4,018",82.8
Connecticut,"3,344","2,559",76.5,"2,824",84.4
Delaware,850,600,75.0,656,77.2
District of Columbia,588,422,71.8,424,72.1
Florida,"17,777","12,778",71.9,"14,005",78.8
Georgia,"9,334","6,526",69.9,"6,999",75.0
Hawaii,"1,210",794,65.6,922,76.2
Idaho,"1,475","1,079",73.1,"1,180",80.0
Illinois,"12,280","8,601",70.0,"9,604",78.2
Indiana,"6,121","4,184",68.4,"4,496",73.5
Iowa,"2,881","2,093",72.6,"2,229",77.3
Kansas,"2,653","1,992",75.1,"2,128",80.2
Kentucky,"4,133","2,720",65.8,"2,979",72.1
Louisiana,"4,282","2,839",66.3,"3,039",71.0
Maine,"1,252",919,73.4,"1,017",81.2
Maryland,"5,440","4,033",74.1,"4,431",81.4
Massachusetts,"6,341","4,722",74.5,"5,295",83.5
Michigan,"9,438","6,916",73.3,"7,512",79.6
Minnesota,"5,063","4,002",79.1,"4,249",83.9
Mississippi,"2,772","1,635",59.0,"1,703",61.4
Missouri,"5,686","3,886",68.3,"4,120",72.4
Montana,933,631,67.7,669,71.7
Nebraska,"1,694","1,255",74.1,"1,299",76.7
Nevada,"2,519","1,719",68.2,"1,978",78.5
New Hampshire,"1,273","1,015",79.7,"1,110",87.1
New Jersey,"8,261","6,076",73.5,"6,796",82.3
New Mexico,"1,942","1,173",60.4,"1,278",65.8
New York,"18,637","12,879",69.1,"14,853",79.7
North Carolina,"9,005","5,961",66.2,"6,482",72.0
North Dakota,612,439,71.7,468,76.5
Ohio,"10,967","7,622",69.5,"8,228",75.0
Oklahoma,"3,496","2,260",64.6,"2,494",71.3
Oregon,"3,713","2,838",76.4,"3,027",81.5
Pennsylvania,"12,004","8,347",69.5,"9,051",75.4
Rhode Island,"1,008",728,72.3,810,80.4
South Carolina,"4,344","2,819",64.9,"3,039",70.0
South Dakota,778,568,73.0,598,76.9
Tennessee,"6,057","3,825",63.2,"4,262",70.4
Texas,"23,864","15,271",64.0,"16,593",69.5
Utah,"2,693","2,054",76.3,"2,280",84.7
Virginia,"7,506","5,266",70.1,"5,705",76.0
Vermont,599,453,75.6,481,80.2
Washington,"6,453","5,160",80.0,"5,558",86.1
West Virginia,"1,748","1,121",64.1,"1,245",71.2
Wisconsin,"5,402","4,062",75.2,"4,339",80.3
Wyoming,517,384,74.2,414,80.0
