"state","id","share"
"Alabama","01",37.6
"Alaska","02",63.8
"Arizona","04",51.1
"Arkansas","05",37.6
"California","06",55.2
"Colorado","08",58.2
"Connecticut","09",54.6
"Delaware","10",52.4
"District of Columbia","11",41.5
"Florida","12",52.8
"Georgia","13",46.7
"Hawaii","15",55.7
"Idaho","16",52.6
"Illinois","17",46.6
"Indiana","18",47.2
"Iowa","19",50.9
"Kansas","20",50.7
"Kentucky","21",44.3
"Louisiana","22",40.5
"Maine","23",53.2
"Maryland","24",57.9
"Massachusetts","25",54.7
"Michigan","26",51
"Minnesota","27",55.5
"Mississippi","28",36.8
"Missouri","29",49.8
"Montana","30",47.4
"Nebraska","31",45.4
"Nevada","32",52.6
"New Hampshire","33",61.4
"New Jersey","34",57.1
"New Mexico","35",43
"New York","36",50.1
"North Carolina","37",44.5
"North Dakota","38",46.3
"Ohio","39",50.9
"Oklahoma","40",43.6
"Oregon","41",57.9
"Pennsylvania","42",48.7
"Rhode Island","44",52.8
"South Carolina","45",44.9
"South Dakota","46",47.7
"Tennessee","47",45
"Texas","48",47.4
"Utah","49",54.1
"Vermont","50",53.2
"Virginia","51",55.4
"Washington","53",60
"West Virginia","54",40.5
"Wisconsin","55",50
"Wyoming","56",51.2
"Alabama","01",45.8
"Alaska","02",68.5
"Arizona","04",55.3
"Arkansas","05",42.3
"California","06",59.6
"Colorado","08",63.4
"Connecticut","09",62.9
"Delaware","10",56.9
"District of Columbia","11",53.2
"Florida","12",55.7
"Georgia","13",53.7
"Hawaii","15",54.9
"Idaho","16",56.4
"Illinois","17",51.2
"Indiana","18",51.2
"Iowa","19",57
"Kansas","20",54.3
"Kentucky","21",49.9
"Louisiana","22",44.1
"Maine","23",58.1
"Maryland","24",59.4
"Massachusetts","25",58.1
"Michigan","26",52
"Minnesota","27",61.7
"Mississippi","28",39.5
"Missouri","29",53
"Montana","30",50.8
"Nebraska","31",55.8
"Nevada","32",55.3
"New Hampshire","33",65.5
"New Jersey","34",60.2
"New Mexico","35",44.8
"New York","36",53.3
"North Carolina","37",51.3
"North Dakota","38",53.6
"Ohio","39",52.4
"Oklahoma","40",48.3
"Oregon","41",61.1
"Pennsylvania","42",54.7
"Rhode Island","44",55.7
"South Carolina","45",45.9
"South Dakota","46",53.7
"Tennessee","47",49
"Texas","48",51.8
"Utah","49",62.6
"Vermont","50",58
"Virginia","51",60.4
"Washington","53",62.3
"West Virginia","54",47.4
"Wisconsin","55",57.5
"Wyoming","56",57.9
"Alabama","01",55.3
"Alaska","02",78.5
"Arizona","04",63.2
"Arkansas","05",55.4
"California","06",69
"Colorado","08",72.1
"Connecticut","09",74.5
"Delaware","10",71
"District of Columbia","11",62.6
"Florida","12",69.5
"Georgia","13",66.2
"Hawaii","15",70.9
"Idaho","16",61.7
"Illinois","17",69.3
"Indiana","18",65.8
"Iowa","19",68.3
"Kansas","20",66.1
"Kentucky","21",60.9
"Louisiana","22",62.4
"Maine","23",72.7
"Maryland","24",71.6
"Massachusetts","25",76.3
"Michigan","26",65.5
"Minnesota","27",73.7
"Mississippi","28",52.8
"Missouri","29",63.7
"Montana","30",65.5
"Nebraska","31",70.3
"Nevada","32",68.9
"New Hampshire","33",82.6
"New Jersey","34",74
"New Mexico","35",61.3
"New York","36",67.8
"North Carolina","37",61.2
"North Dakota","38",68.5
"Ohio","39",66
"Oklahoma","40",57.8
"Oregon","41",72.3
"Pennsylvania","42",68.7
"Rhode Island","44",73
"South Carolina","45",59.5
"South Dakota","46",67.6
"Tennessee","47",58.4
"Texas","48",60.3
"Utah","49",74.8
"Virginia","51",73.1
"Vermont","50",75.2
"Washington","53",75.7
"West Virginia","54",56.5
"Wisconsin","55",71.8
"Wyoming","56",68.6
"Alabama","01",61.7
"Alaska","02",83.4
"Arizona","04",74.3
"Arkansas","05",63.4
"California","06",75.6
"Colorado","08",76.1
