id,county,share
01001,"Autauga County, Alabama",87.1
01003,"Baldwin County, Alabama",88.6
01005,"Barbour County, Alabama",71.7
01007,"Bibb County, Alabama",81.5
01009,"Blount County, Alabama",84.3
01011,"Bullock County, Alabama",67.4
01013,"Butler County, Alabama",75.9
01015,"Calhoun County, Alabama",83.5
21135,"Lewis County, Kentucky",81.9
21137,"Lincoln County, Kentucky",79.1
21139,"Livingston County, Kentucky",83.8
21141,"Logan County, Kentucky",76.1
21143,"Lyon County, Kentucky",80.5
21145,"McCracken County, Kentucky",89.7
21147,"McCreary County, Kentucky",68.8
21151,"Madison County, Kentucky",88.7
21155,"Marion County, Kentucky",83.6
21157,"Marshall County, Kentucky",89.4
21161,"Mason County, Kentucky",84
21163,"Meade County, Kentucky",90.2
21167,"Mercer County, Kentucky",83.8
21169,"Metcalfe County, Kentucky",79.9
21173,"Montgomery County, Kentucky",84.5
21175,"Morgan County, Kentucky",79.4
21179,"Nelson County, Kentucky",88.8
21181,"Nicholas County, Kentucky",74
21185,"Oldham County, Kentucky",94.5
21187,"Owen County, Kentucky",70.1
21191,"Pendleton County, Kentucky",80.8
21195,"Pike County, Kentucky",81.3
21197,"Powell County, Kentucky",74.5
21201,"Robertson County, Kentucky",65.6
21203,"Rockcastle County, Kentucky",74.5
21207,"Russell County, Kentucky",79.3
21209,"Scott County, Kentucky",90.4
21213,"Simpson County, Kentucky",85.2
21215,"Spencer County, Kentucky",91.8
21219,"Todd County, Kentucky",64.1
21223,"Trimble County, Kentucky",71.9
21225,"Union County, Kentucky",84.3
21229,"Washington County, Kentucky",77.7
21231,"Wayne County, Kentucky",73.8
21235,"Whitley County, Kentucky",77
21237,"Wolfe County, Kentucky",77.5
23001,"Androscoggin County, Maine",89.1
23003,"Aroostook County, Maine",77
23007,"Franklin County, Maine",82.5
23009,"Hancock County, Maine",88.5
23013,"Knox County, Maine",90.2
23015,"Lincoln County, Maine",85.6
23019,"Penobscot County, Maine",87.1
23021,"Piscataquis County, Maine",79.8
23025,"Somerset County, Maine",84.6
23029,"Washington County, Maine",83.1
23031,"York County, Maine",90.9
27003,"Anoka County, Minnesota",94
27005,"Becker County, Minnesota",87.5
27007,"Beltrami County, Minnesota",85.7
27009,"Benton County, Minnesota",89.6
27011,"Big Stone County, Minnesota",85.8
27013,"Blue Earth County, Minnesota",90
27015,"Brown County, Minnesota",88.4
27017,"Carlton County, Minnesota",84.8
27019,"Carver County, Minnesota",95.3
27021,"Cass County, Minnesota",84.3
27023,"Chippewa County, Minnesota",84.7
27025,"Chisago County, Minnesota",92.8
47121,"Meigs County, Tennessee",79.4
47125,"Montgomery County, Tennessee",92
47127,"Moore County, Tennessee",70
47131,"Obion County, Tennessee",81.5
47133,"Overton County, Tennessee",75.3
47137,"Pickett County, Tennessee",74.2
47139,"Polk County, Tennessee",80.7
47143,"Rhea County, Tennessee",84.9
