technology,year,share
Cell phone,1994,10
Cell phone,1995,12
Cell phone,1996,16
Cell phone,1997,21
Cell phone,1998,36
Cell phone,1999,34
Cell phone,2000,42
Cell phone,2001,49
Cell phone,2002,56
Cell phone,2003,62
Cell phone,2004,63
Cell phone,2005,71
Cell phone,2006,67
Cell phone,2007,73
Cell phone,2008,75
Cell phone,2009,84
Cell phone,2010,87
Cell phone,2011,89
Cell phone,2012,87
Cell phone,2013,90
Cell phone,2014,91
Cell phone,2015,92
Cell phone,2016,93
Cell phone,2017,94
Cell phone,2018,95
Cell phone,2019,96
Color TV,1966,10
Color TV,1967,15
Color TV,1968,21
Color TV,1969,25
Color TV,1970,31
Color TV,1971,39
Color TV,1972,43
Color TV,1973,48
Color TV,1974,57
Color TV,1975,64
Color TV,1976,69
Color TV,1977,74
Color TV,1978,75
Color TV,1979,78
Color TV,1980,79
Color TV,1981,80
Color TV,1982,85
Color TV,1983,88
Color TV,1984,89
Color TV,1985,90
Color TV,1986,90
Color TV,1987,91
Color TV,1988,93
Color TV,1989,94
Color TV,1990,96
Color TV,1991,96
Color TV,1992,95
Color TV,1993,95
Color TV,1994,96
Color TV,1995,94
Color TV,1996,96
Color TV,1997,95
Color TV,1998,94
Color TV,1999,95
Color TV,2000,94
Color TV,2001,94
Color TV,2002,96
Color TV,2003,95
Color TV,2004,97
Color TV,2005,96
Computer,1992,20
Computer,1998,42
Computer,2003,63
Computer,2005,67
Computer,2010,75
Computer,2011,76
Computer,2012,78
Computer,2013,83
Computer,2014,85
Computer,2015,86
Computer,2016,89
Landline,1903,10
Landline,1904,12
Landline,1905,14
Landline,1906,18
Landline,1907,19
Landline,1908,21
Landline,1909,23
Landline,1910,24
Landline,1911,26
Landline,1912,27
Landline,1913,28
Landline,1914,29
Landline,1915,30
Landline,1916,31
Landline,1917,32
Landline,1918,33
Landline,1919,34
Landline,1920,34
Landline,1921,35
Landline,1922,35
Landline,1923,37
Landline,1924,37
Landline,1925,38
Landline,1926,39
Landline,1927,39
Landline,1928,41
Landline,1929,41
Landline,1930,39
Landline,1931,38
Landline,1932,35
Landline,1933,32
Landline,1934,31
Landline,1935,32
Landline,1936,33
Landline,1937,34
Landline,1938,34
Landline,1939,35
Landline,1940,37
Landline,1941,39
Landline,1942,41
Landline,1943,44
Landline,1944,45
Landline,1945,46
Landline,1946,50
Landline,1947,54
Landline,1948,58
Landline,1949,60
Landline,1950,62
Landline,1951,63
Landline,1952,65
Landline,1953,67
Landline,1954,70
Landline,1955,71
Landline,1956,73
Landline,1957,75
Landline,1958,76
Landline,1959,78
Landline,1960,78
Landline,1961,79
Landline,1962,80
Landline,1963,81
Landline,1964,82
Landline,1965,85
Landline,1966,86
Landline,1967,87
Landline,1968,88
Landline,1969,90
Landline,1970,87
Landline,1971,87
Landline,1972,88
Landline,1973,88
Landline,1974,89
Landline,1975,90
Landline,1976,90
Landline,1977,91
Landline,1978,91
Landline,1979,92
Landline,1980,92
Landline,1981,93
Landline,1982,92
Landline,1983,92
Landline,1984,92
Landline,1985,92
Landline,1986,92
Landline,1987,92
Landline,1988,92
Landline,1989,93
Landline,1990,93
Landline,1991,94
Landline,1992,94
Landline,1993,94
Landline,1994,94
Landline,1995,94
Landline,1996,94
Landline,1997,94
Landline,1998,94
Landline,1999,94
Landline,2000,94
Landline,2001,94
Landline,2002,95
Landline,2003,94
Landline,2004,93
Landline,2005,92
Landline,2009,83
Landline,2010,75
Landline,2011,70
Landline,2012,75
Landline,2013,58
Landline,2014,57
Landline,2015,54
Landline,2016,50
Landline,2017,46
Landline,2018,41
Radio,1925,10
Radio,1926,17
Radio,1927,19
Radio,1928,28
Radio,1929,36
Radio,1930,45
Radio,1931,52
Radio,1932,60
Radio,1933,63
Radio,1934,65
Radio,1935,68
Radio,1936,72
Radio,1937,74
Radio,1938,78
Radio,1939,80
Radio,1940,81
Radio,1941,82
Radio,1942,84
Radio,1943,84
Radio,1944,87
Radio,1945,88
Radio,1946,89
Radio,1947,92
Radio,1948,92
Radio,1949,93
Radio,1950,92
Radio,1951,92
Radio,1952,92
Radio,1953,93
Radio,1954,96
Radio,1955,96
Radio,1956,96
Radio,1957,96
Radio,1958,96
Radio,1959,96
Radio,1960,95
Radio,1961,95
Radio,1962,94
Radio,1963,95
Radio,1964,96
Radio,1965,96
Radio,1966,96
Radio,1967,96
Radio,1968,96
Radio,1969,97
Radio,1970,98
Radio,1971,99
Radio,1972,99
Radio,1973,99
Radio,1974,99
Radio,1975,99
Radio,1976,99
Radio,1977,99
Radio,1978,99
Radio,1979,99
Radio,1980,99
Radio,1981,99
Radio,1982,99
Radio,1983,99
Radio,1984,99
Radio,1985,99
Radio,1986,99
Radio,1987,99
Radio,1988,99
Radio,1989,99
Radio,1990,99
Radio,1991,99
Radio,1992,99
Radio,1993,99
Radio,1994,99
Radio,1995,99
Radio,1996,99
Radio,1997,99
Radio,1998,99
Radio,1999,99
Radio,2000,99
Radio,2001,99
Radio,2002,99
Radio,2003,99
Radio,2004,99
Radio,2005,99
Smartphone,2011,35
Smartphone,2012,45
Smartphone,2013,54
Smartphone,2014,57
Smartphone,2015,68
Smartphone,2016,73
Smartphone,2017,73
Smartphone,2018,77
Smartphone,2019,81
Tablet,2010,3
Tablet,2011,10
Tablet,2012,25
Tablet,2013,34
Tablet,2014,39
Tablet,2015,45
Tablet,2016,51
Tablet,2017,64
