year,activity,minutes
2003,Watching TV/movies,204
2003,Listening to radio,91
2003,Listening to music,97
2003,Using computer,95
2003,Using phone (family),32
2003,Using phone (friends),39
2004,Watching TV/movies,204
2004,Listening to radio,97
2004,Listening to music,88
2004,Using computer,97
2004,Using phone (family),32
2004,Using phone (friends),40
2005,Watching TV/movies,198
2005,Listening to radio,87
2005,Listening to music,92
2005,Using computer,93
2005,Using phone (family),33
2005,Using phone (friends),40
2006,Watching TV/movies,202
2006,Listening to radio,86
2006,Listening to music,89
2006,Using computer,89
2006,Using phone (family),32
2006,Using phone (friends),42
2007,Watching TV/movies,206
2007,Listening to radio,85
2007,Listening to music,86
2007,Using computer,87
2007,Using phone (family),35
2007,Using phone (friends),41
2008,Watching TV/movies,214
2008,Listening to radio,93
2008,Listening to music,73
2008,Using computer,89
2008,Using phone (family),36
2008,Using phone (friends),43
2009,Watching TV/movies,214
2009,Listening to radio,88
2009,Listening to music,86
2009,Using computer,88
2009,Using phone (family),36
2009,Using phone (friends),40
2010,Watching TV/movies,217
2010,Listening to radio,97
2010,Listening to music,100
2010,Using computer,93
2010,Using phone (family),35
2010,Using phone (friends),45
2011,Watching TV/movies,222
2011,Listening to radio,88
2011,Listening to music,91
2011,Using computer,95
2011,Using phone (family),37
2011,Using phone (friends),44
2012,Watching TV/movies,224
2012,Listening to radio,100
2012,Listening to music,84
2012,Using computer,94
2012,Using phone (family),37
2012,Using phone (friends),42
2013,Watching TV/movies,223
2013,Listening to radio,92
2013,Listening to music,89
2013,Using computer,91
2013,Using phone (family),37
2013,Using phone (friends),42
2014,Watching TV/movies,223
2014,Listening to radio,85
2014,Listening to music,90
2014,Using computer,95
2014,Using phone (family),35
2014,Using phone (friends),45
2015,Watching TV/movies,221
2015,Listening to radio,84
2015,Listening to music,81
2015,Using computer,84
2015,Using phone (family),36
2015,Using phone (friends),47
2016,Watching TV/movies,223
2016,Listening to radio,80
2016,Listening to music,85
2016,Using computer,87
2016,Using phone (family),36
2016,Using phone (friends),43
2017,Watching TV/movies,229
2017,Listening to radio,101
2017,Listening to music,91
2017,Using computer,88
2017,Using phone (family),37
2017,Using phone (friends),45
2018,Watching TV/movies,235
2018,Listening to radio,113
2018,Listening to music,94
2018,Using computer,83
2018,Using phone (family),38
2018,Using phone (friends),44
2019,Watching TV/movies,236
2019,Listening to radio,100
2019,Listening to music,86
2019,Using computer,79
2019,Using phone (family),39
2019,Using phone (friends),46
2020,Watching TV/movies,241
2020,Listening to radio,101
2020,Listening to music,96
2020,Using computer,96
2020,Using phone (family),48
2020,Using phone (friends),65
2021,Watching TV/movies,241
2021,Listening to radio,113
2021,Listening to music,94
2021,Using computer,91
2021,Using phone (family),48
2021,Using phone (friends),64
