year,activity,minutes
2003,Watching TV/movies,204.29658986175218
2003,Listening to radio,91.13437500000002
2003,Listening to music,97.25
2003,Using computer,95.22841396203303
2003,Using phone (family),32.0011848341232
2003,Using phone (friends),39.375
2004,Watching TV/movies,204.65812957344252
2004,Listening to radio,97.08823529411767
2004,Listening to music,88.50920245398775
2004,Using computer,97.18301158301156
2004,Using phone (family),32.804066543438076
2004,Using phone (friends),40.51624999999999
2005,Watching TV/movies,198.4884281581488
2005,Listening to radio,87.08300395256917
2005,Listening to music,92.29710144927535
2005,Using computer,93.26090604026854
2005,Using phone (family),33.96781115879827
2005,Using phone (friends),40.369230769230775
2006,Watching TV/movies,202.1362405724225
2006,Listening to radio,86.87203791469194
2006,Listening to music,89.459940652819
2006,Using computer,89.71500419111484
2006,Using phone (family),32.960915157292646
2006,Using phone (friends),42.84418901660282
2007,Watching TV/movies,206.35251798561154
2007,Listening to radio,85.9377990430622
2007,Listening to music,86.18875502008034
2007,Using computer,87.59020852221208
2007,Using phone (family),35.25137816979051
2007,Using phone (friends),41.92580645161291
2008,Watching TV/movies,214.5984694371786
2008,Listening to radio,93.96326530612244
2008,Listening to music,73.04123711340205
2008,Using computer,89.45413669064756
2008,Using phone (family),36.30362389813907
2008,Using phone (friends),43.87307692307691
2009,Watching TV/movies,214.2913055633209
2009,Listening to radio,88.22996515679444
2009,Listening to music,86.2572463768116
2009,Using computer,88.31143911439115
2009,Using phone (family),36.238738738738725
2009,Using phone (friends),40.882063882063875
2010,Watching TV/movies,217.33818078129474
2010,Listening to radio,97.45531914893614
2010,Listening to music,100.56785714285714
2010,Using computer,93.55886243386239
2010,Using phone (family),35.81390593047034
2010,Using phone (friends),45.23055162659123
2011,Watching TV/movies,222.31526593585073
2011,Listening to radio,88.28169014084509
2011,Listening to music,91.61087866108788
2011,Using computer,95.11681087762669
2011,Using phone (family),37.268689057421476
2011,Using phone (friends),44.15965166908563
2012,Watching TV/movies,224.369458621035
2012,Listening to radio,100.31443298969067
2012,Listening to music,84
2012,Using computer,94.57114228456916
2012,Using phone (family),37.363329583802006
2012,Using phone (friends),42.81290322580646
2013,Watching TV/movies,223.7359488648885
2013,Listening to radio,92.6165803108808
2013,Listening to music,89.42105263157895
2013,Using computer,91.0620689655173
2013,Using phone (family),37.11757575757575
2013,Using phone (friends),42.51867219917013
2014,Watching TV/movies,223.1678832116793
2014,Listening to radio,85.15675675675676
2014,Listening to music,90.38388625592418
2014,Using computer,95.59640957446814
2014,Using phone (family),35.831591173054605
2014,Using phone (friends),45.37477477477478
2015,Watching TV/movies,221.9616482136747
2015,Listening to radio,84.36649214659687
2015,Listening to music,81.09216589861751
2015,Using computer,84.98743532889873
2015,Using phone (family),36.86533957845434
2015,Using phone (friends),47.86627906976746
2016,Watching TV/movies,223.22313167259773
2016,Listening to radio,80.34375
2016,Listening to music,85.74
2016,Using computer,87.20928196147113
2016,Using phone (family),36.626631853785916
2016,Using phone (friends),43.84646464646466
2017,Watching TV/movies,229.54966070326992
2017,Listening to radio,101.01875
2017,Listening to music,91.75109170305677
2017,Using computer,88.06092607636072
2017,Using phone (family),37.48874172185429
2017,Using phone (friends),45.89390519187358
2018,Watching TV/movies,235.5719701921821
2018,Listening to radio,113.13907284768209
2018,Listening to music,94.17199999999998
2018,Using computer,83.33832599118942
2018,Using phone (family),38.4709219858156
2018,Using phone (friends),44.70308788598576
2019,Watching TV/movies,236.46618933969754
2019,Listening to radio,100.13043478260869
2019,Listening to music,86.28991596638653
2019,Using computer,79.62352941176472
2019,Using phone (family),39.71612903225804
2019,Using phone (friends),46.786637931034484
2020,Watching TV/movies,241.49666110183668
2020,Listening to radio,101.28099173553719
2020,Listening to music,96.55172413793102
2020,Using computer,96.17636363636363
2020,Using phone (family),48.70511140235913
2020,Using phone (friends),65.3125
2021,Watching TV/movies,241.42491444216296
2021,Listening to radio,113.8515625
2021,Listening to music,94.76576576576576
2021,Using computer,91.35017421602788
2021,Using phone (family),48.32160804020101
2021,Using phone (friends),64.5573440643863
