technology,year,share
Cable TV,1968,7
Cable TV,1969,8
Cable TV,1970,9
Cable TV,1971,11
Cable TV,1972,13
Cable TV,1973,15
Cable TV,1974,15
Cable TV,1975,16
Cable TV,1976,17
Cable TV,1977,18
Cable TV,1978,21
Cable TV,1979,28
Cable TV,1980,35
Cable TV,1981,40
Cable TV,1982,43
Cable TV,1983,45
Cable TV,1984,47
Cable TV,1985,50
Cable TV,1986,53
Cable TV,1987,57
Cable TV,1988,58
Cable TV,1989,59
Cable TV,1990,59
Cable TV,1991,60
Cable TV,1992,61
Cable TV,1993,63
Cable TV,1994,64
Cable TV,1995,65
Cable TV,1996,65
Cable TV,1997,65
Cellular phone,1994,10
Cellular phone,1995,12
Cellular phone,1996,16
Cellular phone,1997,21
Cellular phone,1998,36
Cellular phone,1999,34
Cellular phone,2000,42
Cellular phone,2001,49
Cellular phone,2002,56
Cellular phone,2003,62
Cellular phone,2004,63
Cellular phone,2005,71
Cellular phone,2006,67
Cellular phone,2007,73
Cellular phone,2008,75
Cellular phone,2009,84
Cellular phone,2010,87
Cellular phone,2011,89
Cellular phone,2012,87
Cellular phone,2013,90
Cellular phone,2014,91
Cellular phone,2015,92
Cellular phone,2016,93
Cellular phone,2017,94
Cellular phone,2018,95
Cellular phone,2019,96
Colour TV,1966,10
Colour TV,1967,15
Colour TV,1968,21
Colour TV,1969,25
Colour TV,1970,31
Colour TV,1971,39
Colour TV,1972,43
Colour TV,1973,48
Colour TV,1974,57
Colour TV,1975,64
Colour TV,1976,69
Colour TV,1977,74
Colour TV,1978,75
Colour TV,1979,78
Colour TV,1980,79
Colour TV,1981,80
Colour TV,1982,85
Colour TV,1983,88
Colour TV,1984,89
Colour TV,1985,90
Colour TV,1986,90
Colour TV,1987,91
Colour TV,1988,93
Colour TV,1989,94
Colour TV,1990,96
Colour TV,1991,96
Colour TV,1992,95
Colour TV,1993,95
Colour TV,1994,96
Colour TV,1995,94
Colour TV,1996,96
Colour TV,1997,95
Colour TV,1998,94
Colour TV,1999,95
Colour TV,2000,94
Colour TV,2001,94
Colour TV,2002,96
Colour TV,2003,95
Colour TV,2004,97
Colour TV,2005,96
Computer,1992,20
Computer,1998,42
Computer,2003,63
Computer,2005,67
Computer,2010,75
Computer,2011,76
Computer,2012,78
Computer,2013,83
Computer,2014,85
Computer,2015,86
Computer,2016,89
Ebook reader,2009,2
Ebook reader,2010,5
Ebook reader,2011,10
Ebook reader,2012,19
Ebook reader,2013,24
Ebook reader,2014,25
Ebook reader,2015,26
Ebook reader,2016,26
Ebook reader,2017,27
Ebook reader,2018,27
Households with only mobile phones (no landlines),2013,40
Households with only mobile phones (no landlines),2014,45
Households with only mobile phones (no landlines),2015,50
Households with only mobile phones (no landlines),2016,52
Households with only mobile phones (no landlines),2017,54
Households with only mobile phones (no landlines),2018,54
Internet,1993,10
Internet,1994,11
Internet,1995,13
Internet,1996,16
Internet,1997,19
Internet,1998,25
Internet,1999,34
Internet,2000,42
Internet,2001,49
Internet,2002,52
Internet,2003,54
Internet,2004,57
Internet,2005,61
Internet,2006,62
Internet,2007,65
Internet,2008,68
Internet,2009,70
Internet,2010,74
Internet,2011,76
Internet,2012,81
Internet,2013,82
Internet,2014,83
Internet,2015,85
Internet,2016,88
Landline,1903,10
Landline,1904,12
Landline,1905,14
Landline,1906,18
Landline,1907,19
Landline,1908,21
Landline,1909,23
Landline,1910,24
Landline,1911,26
Landline,1912,27
Landline,1913,28
Landline,1914,29
Landline,1915,30
Landline,1916,31
Landline,1917,32
Landline,1918,33
Landline,1919,34
Landline,1920,34
Landline,1921,35
Landline,1922,35
Landline,1923,37
Landline,1924,37
Landline,1925,38
Landline,1926,39
Landline,1927,39
Landline,1928,41
Landline,1929,41
Landline,1930,39
Landline,1931,38
Landline,1932,35
Landline,1933,32
Landline,1934,31
Landline,1935,32
Landline,1936,33
Landline,1937,34
Landline,1938,34
Landline,1939,35
Landline,1940,37
Landline,1941,39
Landline,1942,41
Landline,1943,44
Landline,1944,45
Landline,1945,46
Landline,1946,50
Landline,1947,54
Landline,1948,58
Landline,1949,60
Landline,1950,62
Landline,1951,63
Landline,1952,65
Landline,1953,67
Landline,1954,70
Landline,1955,71
Landline,1956,73
Landline,1957,75
Landline,1958,76
Landline,1959,78
Landline,1960,78
Landline,1961,79
Landline,1962,80
Landline,1963,81
Landline,1964,82
Landline,1965,85
Landline,1966,86
Landline,1967,87
Landline,1968,88
Landline,1969,90
Landline,1970,87
Landline,1971,87
Landline,1972,88
Landline,1973,88
Landline,1974,89
Landline,1975,90
Landline,1976,90
Landline,1977,91
Landline,1978,91
Landline,1979,92
Landline,1980,92
Landline,1981,93
Landline,1982,92
Landline,1983,92
Landline,1984,92
Landline,1985,92
Landline,1986,92
Landline,1987,92
Landline,1988,92
Landline,1989,93
Landline,1990,93
Landline,1991,94
Landline,1992,94
Landline,1993,94
Landline,1994,94
Landline,1995,94
Landline,1996,94
Landline,1997,94
Landline,1998,94
Landline,1999,94
Landline,2000,94
Landline,2001,94
Landline,2002,95
Landline,2003,94
Landline,2004,93
Landline,2005,92
Landline,2009,83
Landline,2010,75
Landline,2011,70
Landline,2012,75
Landline,2013,58
Landline,2014,57
Landline,2015,54
Landline,2016,50
Landline,2017,46
Landline,2018,41
Podcasting,2006,11
Podcasting,2007,13
Podcasting,2008,18
Podcasting,2009,22
Podcasting,2010,23
Podcasting,2011,25
Podcasting,2012,29
Podcasting,2013,27
Podcasting,2014,30
Podcasting,2015,33
Radio,1925,10
Radio,1926,17
Radio,1927,19
Radio,1928,28
Radio,1929,36
Radio,1930,45
Radio,1931,52
Radio,1932,60
Radio,1933,63
Radio,1934,65
Radio,1935,68
Radio,1936,72
Radio,1937,74
Radio,1938,78
Radio,1939,80
Radio,1940,81
Radio,1941,82
Radio,1942,84
Radio,1943,84
Radio,1944,87
Radio,1945,88
Radio,1946,89
Radio,1947,92
Radio,1948,92
Radio,1949,93
Radio,1950,92
Radio,1951,92
Radio,1952,92
Radio,1953,93
Radio,1954,96
Radio,1955,96
Radio,1956,96
Radio,1957,96
Radio,1958,96
Radio,1959,96
Radio,1960,95
Radio,1961,95
Radio,1962,94
Radio,1963,95
Radio,1964,96
Radio,1965,96
Radio,1966,96
Radio,1967,96
Radio,1968,96
Radio,1969,97
Radio,1970,98
Radio,1971,99
Radio,1972,99
Radio,1973,99
Radio,1974,99
Radio,1975,99
Radio,1976,99
Radio,1977,99
Radio,1978,99
Radio,1979,99
Radio,1980,99
Radio,1981,99
