Entity,Code,Year,End-of-Life food emissions,Food consumption emissions,Food retail emissions,Food packaging emissions,Food transport emissions,Food processing emissions,Agricultural production emissions,Land use change emissions
CH4,,1990,1069483267.0000001,99442389,13111423,38704166,66381381,84220026,4027276756,1069483267.0000001
CH4,,1991,1090021796,97493585,13235989,38700782,68479008,82753241,4010636523.9999995,1090021796
CH4,,1992,1106765990,95212398,12903565,37611906,71484296,83493743,4001005236,1106765990
CH4,,1993,1123763692,94261808,13071611,37524567,73794342,84353843,3961583797,1123763692
CH4,,1994,1139395808,91967564,13153971,39644745,75504671,85955544,3975019542,1139395808
CH4,,1995,1152088736,92821137,13178197,44909346,73275535,90238603,3981300380,1152088736
CH4,,1996,1165344401,84122743,14456697,45701908,78222484,91372867,3976013020,1165344401
CH4,,1997,1174731259,86915491,13102618,44996975,75290208,94190587,3918211081,1174731259
CH4,,1998,1181300455,76723928,12995653,43869971,61495443,91792079,3894768273,1181300455
CH4,,1999,1190746488,76216315,12821321,42940418,61087507,94079449,3915312399,1190746488
CH4,,2000,1203843825,75394105,12602056,44143191,60086844,96282054,3881819532,1203843825
CH4,,2001,1206047147,74343051,12724251,46048972,56920375,97439951,3878343539,1206047147
CH4,,2002,1218716826,73299310,12933809,43480089,55350572,100923604,3904251249,1218716826
CH4,,2003,1236671704,74637568,13797809,46732089,60640312,105035882,3941361863,1236671704
CH4,,2004,1254136187,75161355,13958333,55436250,62207629,114241410,4018839899.9999995,1254136187
CH4,,2005,1266343309,76418563,14065734,59091015,59616632,117747763,4078995758.9999995,1266343309
CH4,,2006,1290964493,76444046,14480003,60303671,62302678,118337179,4128292344,1290964493
CH4,,2007,1303745379,74585017,15663915,61740442,60368901,123396821,4178997472,1303745379
CH4,,2008,1316626708,72808907,15594995,64401220.99999999,62332580,130787168.00000001,4250663206.9999995,1316626708
CH4,,2009,1331297229,72039371,14543838,64700005.00000001,61841754,129908840,4268349034,1331297229
CH4,,2010,1341976741,71030464,14858064,68589584,64691081,136810480,4307282237,1341976741
CH4,,2011,1362971310,71291113,15915968,73868312,66213225,139051681,4335849448,1362971310
CH4,,2012,1381228359,70542735,15621942,72272827,70222504,146474591,4366313978,1381228359
CH4,,2013,1403274956,70958552,16753826,72345873,69926081,152156163,4400381328,1403274956
CH4,,2014,1423382708,71118157,17128828,73653017,74236548,157639910,4417368425,1423382708
CH4,,2015,1445596609,71544903,17128058,71331779,75063211,159832972,4436558910,1445596609
CO2,,1990,1881817,239547079,169771647,480644388,449021922,309008672,819779593,6800775286
CO2,,1991,1929993,243133802,176985638,488785004,455642508,309621179,822285620,6813224180
CO2,,1992,2087574,238831828,180365107,485289976,467235821,302257138,800751113,6833640272
CO2,,1993,2107628,243830788,185590467,484640631,474837806,305299061,785915884,6879418108
CO2,,1994,2356424,240553575,192548297,507160053,485450912,302642917,803915414,6892473766
CO2,,1995,2462395,256024554.00000003,200554632,570928868,499284146,362763380,833223507,6911731532
CO2,,1996,2472394,239208862,212653782,568254732,521774344,354136930,793623584,6418273612
CO2,,1997,2618634,258845455,219538102,573378334,530823261,356310180,851192834,7361368893
CO2,,1998,2642581,241930613,220960876,575017397,538482296,361743023,843431219,6829536795
CO2,,1999,2708398,245505413,227700630,571315526,553763179,341206785,850958239,6493767044
CO2,,2000,3002220,252685041,228676161,592134601,575920966,351828171,780362474,6339982039
CO2,,2001,2823986,257941578.99999997,238729237,603932592,584694568,361717793,774454512,5876346232
CO2,,2002,2778705,261299679.99999997,239329013,598399545,598497871,368273706,784021707,6809055933
CO2,,2003,2865381,272102971,250168757.00000003,648459657,616663406,369924784,813728679,6478018385
CO2,,2004,2811097,283603022,258634680.99999997,737391725,640179183,407978660,859347774,6786213736
CO2,,2005,2801022,291321418,268123147.99999997,778697066,651863012,426479789,890541682,6537128836
CO2,,2006,2846481,295596443,271660203,803238045,664679786,443090004,905489260,6378900703
CO2,,2007,2870724,304624617,286415119,849940653,682026900,457756643,915553034,5895887112
CO2,,2008,3119255,298981503,289855092,863195782,684298866,465167784,912017784,5869189577
CO2,,2009,2866732,299265224,281488559,848817028,677112319,457357530,902366938,6174114718
CO2,,2010,3080234,312482914,292474052,870333448,702793019,463483758,923316235,5832511750
CO2,,2011,3128253,317651978,292908542,925592999,712442188,465247802,948465234,5187965420
CO2,,2012,3368505,320587633,291819882,892769436,734803220,460735843,953357662,5253230642
CO2,,2013,3424859,328638351,301664959,895364383,745640937,459284130,970191273,5157058010
CO2,,2014,3397758,332311041,298753420,913689310,757338149,442668646,989856102,5358269555
CO2,,2015,3435776,334857988,294782355,901570506,771213548,436911272,985642478,5674576445
N2O,,1990,52467725,36368998,578645,1832913,8418433,14976128,1356925335,340541
N2O,,1991,53833287,36709355,615414,1894273,8452938,15309533,1346336149,340541
N2O,,1992,55580000,36933026,633699,1888508,8713666,15743002.999999998,1355272387,340583
N2O,,1993,57121839,37322677,666800,1955234.0000000002,8838055,15988601.000000002,1352966319,340583
N2O,,1994,58927624,37650020,690937,2046911.0000000002,9023596,16422451.000000002,1372229297,340583
N2O,,1995,60378298,39149575,717538,2230117,9329649,16972678,1397769430,340583
N2O,,1996,61863878,39283775,764422,2187273,9538754,17339100,1421744712,258670.99999999997
N2O,,1997,63001131,39740478,789906,2213457,9594497,17583389,1404174098,391363
N2O,,1998,64454435.00000001,39847598,800605,2217203,9734252,17971426,1408889739,394152
N2O,,1999,65782828,40110428,808142,2597203,9931574,18337684,1417808649,305743
N2O,,2000,65002508,40328698,863923,2706969,10271979,18055658,1411377513,227037
N2O,,2001,66515147,40235419,947284,2683803,10024981,18552924,1416543191,212660
N2O,,2002,67891373,40383081,924229,2669444,9962984,19069073,1433511466,366987
N2O,,2003,69631120,41196661,964872,2943612,9821492,19450413,1450561042,392739
N2O,,2004,71262146,43200324,1007052,3350963,9847746,20126933,1486802362,384755
N2O,,2005,73195534,43947164,1032816.9999999999,3533347,9717870,20642541,1508816687,331264
N2O,,2006,75510029,44732143,1058975,3745468,9753791,21344525,1531577284,356521
N2O,,2007,77331738,45652200,1129063,3992662.9999999995,9774750,22137390,1552048644,336169
N2O,,2008,78916798,45280358,1158702,3994088,9429957,22494629,1538693582,314177
N2O,,2009,80650080,44681092,1121612,3911835,9064141,22758883,1549000256,323902
N2O,,2010,82280757,45979323,1165896,4264656,9250579,23291787,1573181813,337627
N2O,,2011,83826913,47159115,1174119,4521852,9415421,23794179,1592806112,308112
N2O,,2012,85262169,47523498,1162047,4399792,9610591,24203625,1594155667,372298
N2O,,2013,86396313,47943475,1191513,4455457,9665350,24495422,1616886216,307788
N2O,,2014,87669973,48255799,1183965,4568730,9711218,24696904,1622424552,365703
N2O,,2015,88841726,48191977,1137718,4499455,9883720,24830719,1638248274,411042
Total GHGs,,1990,1123832808,375358466,183663262,521201732,523876584.00000006,408204826,6203981684,6855558242
Total GHGs,,1991,1145785076,377336743,191797539,529401038.00000006,532634642.99999994,407683954,6179258293,6867995626
Total GHGs,,1992,1164433564,370977253,198020059,524822460,547486564,401493884,6157028737,6888400818
Total GHGs,,1993,1182993159,375415273,210138410,524160197.00000006,557528661,405641505,6100466000,6899504466
Total GHGs,,1994,1200679856,370171159,228495642,548901986,570544588,405020912,6151164252,6912560124
Total GHGs,,1995,1214929428,387995266,252188662,618097553,582347297,469974661,6212293318,6931817889
